ID_Cliente,Edad,Ingresos,Visitas_Web,Tiempo_Web,Tours_Vistos,Promociones_Usadas,Reservo_Tour,Monto_Pagado
CL00001,56,8694,19,12.78,2,4,0,0.0
CL00002,46,7196,13,16.02,6,0,1,3544.86
CL00003,32,8083,12,3.72,4,2,0,0.0
CL00004,60,4401,11,24.26,9,3,1,1996.36
CL00005,25,4185,8,4.46,7,4,0,0.0
CL00006,38,6285,2,11.5,2,3,1,3097.51
CL00007,56,7772,10,2.07,7,0,1,3366.56
CL00008,36,9490,9,15.74,8,2,1,3496.8
CL00009,40,4347,0,17.91,3,3,0,0.0
CL00010,28,1788,16,22.06,3,4,0,0.0
CL00011,28,5945,12,10.18,2,0,0,0.0
CL00012,41,3889,13,17.72,1,2,1,3279.75
CL00013,53,6273,0,22.02,3,2,0,0.0
CL00014,57,4272,1,22.86,7,0,0,0.0
CL00015,41,6234,1,9.05,9,0,0,0.0
CL00016,20,7902,6,2.03,9,0,1,2830.01
CL00017,39,8612,8,1.13,6,3,0,0.0
CL00018,19,3492,3,23.04,6,1,0,0.0
CL00019,41,7745,1,11.56,5,2,0,0.0
CL00020,61,5240,18,4.02,2,3,1,3044.44
CL00021,47,3322,4,5.53,7,4,1,872.2
CL00022,55,6298,8,22.98,1,2,0,0.0
CL00023,19,2861,12,17.97,6,1,1,705.71
CL00024,38,7620,11,15.04,4,4,1,2901.12
CL00025,50,5047,18,18.69,3,2,0,0.0
CL00026,29,8581,8,4.12,1,1,0,0.0
CL00027,39,8320,9,9.57,6,0,0,0.0
CL00028,61,2098,18,11.22,7,1,0,0.0
CL00029,42,6247,9,9.43,1,2,0,0.0
CL00030,44,2734,11,25.93,1,1,0,0.0
CL00031,59,5663,13,17.44,7,2,0,0.0
CL00032,45,6909,7,21.88,6,2,0,0.0
CL00033,33,4416,15,7.1,7,1,0,0.0
CL00034,32,7302,16,7.92,8,1,0,0.0
CL00035,64,8593,19,6.76,8,4,0,0.0
CL00036,61,1680,3,20.64,9,4,1,2867.72
CL00037,20,9163,5,10.47,9,3,1,4035.65
CL00038,54,3070,11,12.15,7,2,0,0.0
CL00039,24,7668,17,21.27,9,4,1,3221.47
CL00040,38,9001,6,29.15,6,3,0,0.0
CL00041,26,3191,4,4.86,9,2,0,0.0
CL00042,56,9859,9,1.88,2,3,0,0.0
CL00043,35,8586,5,5.85,2,4,1,3267.87
CL00044,21,9872,13,22.05,6,3,0,0.0
CL00045,42,3846,5,5.84,3,1,0,0.0
CL00046,31,3463,13,17.53,2,3,1,2145.3
CL00047,26,7837,11,17.71,8,0,1,2853.71
CL00048,43,5922,11,8.83,7,0,0,0.0
CL00049,19,5392,7,2.06,8,3,1,2893.46
CL00050,37,4183,9,11.98,6,0,0,0.0
CL00051,45,4167,15,5.6,9,3,0,0.0
CL00052,64,3997,19,5.53,9,3,1,1523.34
CL00053,24,7521,7,15.68,2,3,0,0.0
CL00054,61,4227,8,20.19,5,0,0,0.0
CL00055,25,7564,12,2.26,9,2,1,3205.66
CL00056,64,3024,19,17.35,3,3,0,0.0
CL00057,52,1329,16,7.39,5,3,1,1485.2
CL00058,31,3486,18,20.2,8,1,0,0.0
CL00059,34,2155,16,24.31,2,1,0,0.0
CL00060,53,5477,6,24.21,6,4,0,0.0
CL00061,57,3185,0,11.1,4,0,1,2574.68
CL00062,21,8086,19,17.02,6,2,0,0.0
CL00063,19,3317,13,23.81,3,3,0,0.0
CL00064,23,4621,16,1.82,6,3,0,0.0
CL00065,59,5491,12,18.17,7,0,1,3511.56
CL00066,21,3511,1,25.1,3,4,1,3169.89
CL00067,46,8842,13,11.17,5,4,0,0.0
CL00068,35,9641,0,13.66,8,1,1,3345.51
CL00069,43,8848,4,20.96,2,0,0,0.0
CL00070,61,6404,6,2.04,7,4,0,0.0
CL00071,51,6393,18,11.57,1,4,1,2639.86
CL00072,27,2293,13,8.87,7,2,0,0.0
CL00073,53,3465,13,0.51,1,1,1,1331.95
CL00074,31,4175,14,5.88,4,1,1,1722.59
CL00075,48,8849,4,11.88,4,1,0,0.0
CL00076,32,9444,4,5.92,5,4,0,0.0
CL00077,25,9210,1,18.07,2,3,0,0.0
CL00078,31,3759,17,13.46,6,4,1,986.82
CL00079,40,6255,8,1.18,6,4,1,1915.39
CL00080,57,9414,9,8.25,8,0,1,2816.61
CL00081,38,1002,17,0.58,1,1,0,0.0
CL00082,33,9130,3,10.74,4,1,1,2818.33
CL00083,62,2259,7,7.77,2,2,0,0.0
CL00084,35,9190,17,20.65,8,1,1,3296.91
CL00085,64,5323,19,9.22,4,4,1,3688.24
CL00086,41,6773,16,11.25,8,0,0,0.0
CL00087,43,3568,15,21.76,2,2,1,650.85
CL00088,42,2885,17,14.43,4,4,0,0.0
CL00089,62,8060,6,16.69,9,4,0,0.0
CL00090,58,8844,0,25.24,5,2,1,3583.21
CL00091,46,7111,0,6.21,6,4,1,3860.93
CL00092,32,3338,17,29.68,9,4,1,3263.59
CL00093,62,4758,3,27.0,9,0,0,0.0
CL00094,18,5810,19,8.6,7,0,1,748.67
CL00095,42,7791,19,26.79,2,0,1,912.07
CL00096,24,8171,3,22.62,7,1,1,1576.96
CL00097,26,3731,5,27.92,9,2,1,2889.37
CL00098,41,1869,2,20.73,2,0,0,0.0
CL00099,18,6166,5,20.23,7,4,1,3081.5
CL00100,61,1093,12,0.1,7,1,0,0.0
CL00101,25,3987,6,14.24,3,2,0,0.0
CL00102,41,9627,3,6.01,6,0,1,1787.9
CL00103,28,5947,0,9.72,8,0,0,0.0
CL00104,34,7651,5,29.36,8,2,0,0.0
CL00105,25,7979,4,2.57,3,0,1,2497.93
CL00106,52,7794,12,21.67,6,2,0,0.0
CL00107,52,7524,18,5.19,2,2,1,3484.48
CL00108,50,4144,3,0.22,2,4,1,1653.04
CL00109,22,4587,5,15.04,8,2,0,0.0
CL00110,59,1076,12,4.84,5,3,1,2421.74
CL00111,56,9959,4,28.96,5,0,1,3350.69
CL00112,58,7553,12,6.11,4,4,0,0.0
CL00113,45,9297,9,5.76,4,1,0,0.0
CL00114,24,7694,2,0.97,8,3,0,0.0
CL00115,26,3873,12,9.89,3,2,0,0.0
CL00116,25,4346,11,0.72,3,1,0,0.0
CL00117,29,8024,3,14.97,8,1,1,2130.59
CL00118,51,4148,9,15.17,3,1,0,0.0
CL00119,50,1244,2,1.6,2,1,0,0.0
CL00120,40,3625,16,7.2,5,4,1,1816.26
CL00121,41,4849,8,24.96,3,4,0,0.0
CL00122,54,8737,0,13.88,6,1,0,0.0
CL00123,52,9333,17,13.04,7,3,0,0.0
CL00124,61,1892,8,20.96,3,0,0,0.0
CL00125,57,6487,19,21.45,9,0,0,0.0
CL00126,39,8251,8,22.86,1,4,0,0.0
CL00127,44,8310,1,24.91,7,3,0,0.0
CL00128,52,3399,18,6.97,4,3,0,0.0
CL00129,18,5640,15,1.99,7,2,0,0.0
CL00130,52,3960,2,11.41,9,4,0,0.0
CL00131,54,8325,15,25.65,9,3,1,2091.43
CL00132,64,2469,12,2.34,1,3,1,606.61
CL00133,31,4374,2,17.28,4,0,0,0.0
CL00134,20,9847,9,21.03,7,3,1,1802.3
CL00135,18,9234,17,14.44,6,3,0,0.0
CL00136,22,8923,5,7.66,9,1,0,0.0
CL00137,43,6122,5,9.79,7,0,0,0.0
CL00138,31,6387,17,2.15,3,0,1,3168.45
CL00139,56,8631,5,8.78,7,1,1,3554.08
CL00140,44,8226,5,1.33,5,0,0,0.0
CL00141,26,6108,12,21.79,2,2,0,0.0
CL00142,32,3224,13,26.94,3,2,1,1462.75
CL00143,32,3110,6,19.01,6,4,1,1365.68
CL00144,43,1957,12,19.7,6,0,0,0.0
CL00145,59,8146,14,14.16,7,0,1,1640.49
CL00146,30,1560,11,4.68,6,2,0,0.0
CL00147,49,8413,0,0.23,9,4,0,0.0
CL00148,56,2312,2,10.32,5,4,0,0.0
CL00149,49,2821,17,22.54,5,2,0,0.0
CL00150,21,6646,7,28.81,8,2,0,0.0
CL00151,47,5945,1,12.93,8,1,0,0.0
CL00152,54,6374,3,10.96,1,4,0,0.0
CL00153,40,3651,17,13.38,3,4,0,0.0
CL00154,56,5701,12,12.83,6,1,1,1397.32
CL00155,62,3877,14,18.78,6,2,0,0.0
CL00156,32,6582,1,22.02,1,1,1,3420.25
CL00157,60,6390,9,23.55,2,1,0,0.0
CL00158,46,5083,1,19.49,7,3,1,1013.58
CL00159,53,1745,11,13.13,1,4,0,0.0
CL00160,30,9749,4,28.5,5,2,1,2133.81
CL00161,49,1941,11,21.33,1,3,0,0.0
CL00162,24,5023,0,12.8,6,3,0,0.0
CL00163,39,3296,1,13.4,7,3,0,0.0
CL00164,45,1939,15,24.54,8,2,0,0.0
CL00165,19,2610,1,13.22,3,1,0,0.0
CL00166,59,7300,15,15.49,3,2,1,1446.42
CL00167,62,2725,19,8.75,1,4,1,1590.1
CL00168,23,9853,15,25.17,3,4,1,1333.49
CL00169,45,8187,5,15.67,5,1,1,1114.73
CL00170,45,1032,12,16.58,6,2,1,1330.72
CL00171,61,6985,11,26.42,3,1,0,0.0
CL00172,61,4414,9,27.62,4,1,0,0.0
CL00173,37,2156,4,24.73,5,2,1,898.34
CL00174,47,4126,7,1.96,5,4,1,1932.55
CL00175,28,9252,5,13.31,9,2,0,0.0
